Nama_Pangan,air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Kalsium(mg),Fosfor(mg),Vit_B1(mg),Vit_B2(mg),Vit_C(mg)
"Bayam ,rebus", 93.5 ,  23 ,  1.2 ,  0.6 ,  3.7 ,  150 ,  35 ,  0.02 ,  0.10 , 19 
"Buncis, rebus",  90.6 ,  30 ,  2.2 ,  0.2 ,  6.4 ,  107 ,  47 ,  0.01 ,  0.29 , 8 
"Daun kacang panjang, kukus",  87.2 ,  40 ,  3.7 ,  0.3 ,  8.0 ,  111 ,  66 ,  0.15 ,  0.20 , 11 
"Daun singkong, rebus",  90.5 ,  31 ,  3.7 ,  0.6 ,  4.8 ,  160 ,  50 ,  0.02 ,  0.10 , 34 
"Daun talas, rebus",  91.6 ,  27 ,  1.3 ,  0.2 ,  5.9 ,  119 ,  41 ,  0.00 ,  0.60 ,  7 
"Kangkung, rebus",  93.0 ,  22 ,  2.5 ,  0.6 ,  3.1 ,  50 ,  51 ,  0.01 ,  0.22 ,  13 
"Selada, rebus",  93.5 ,  19 ,  2.7 ,  0.2 ,  2.9 ,  83 ,  74 ,  0.08 ,  0.20 ,  27 
"Taoge, goreng",  79.2 ,  88 ,  3.2 ,  2.1 ,  14.0 ,  168 ,  50 ,  0.05 ,0,  0 
"Wortel, rebus",  92.1 ,  28 ,  0.7 ,  0.5 ,  6.3 ,  46 ,  28 ,  0.01 ,  0.03 ,  12 
Gado-gado,  68.5 ,  137 ,  6.1 ,  3.2 ,  21.0 ,  301 ,  135 ,  0.10 ,0,  1 
Sayur asem,  93.2 ,  29 ,  0.7 ,  0.6 ,  5.0 ,  40 ,  61 ,  0.10 ,0,  0 
Sayur bunga pepaya,  83.4 ,  49 ,  1.7 ,  0.3 ,  9.8 ,  220 ,  220 ,0,  0.10 ,  0 
Sayur sop,  92.7 ,  27 ,  1.3 ,  2.0 ,  1.0 ,  168 ,  57 ,  0.10 ,0,  0 
Waluh balamak,  89.4 ,  45 ,  0.8 ,  0.9 ,  8.1 ,  25 ,  25 ,  0.20 ,  0.00 ,  2 
"kacang hijau, rebus",  71.3 ,  109 ,  8.7 ,  0.5 ,  18.3 ,  95 ,  149 ,  0.12 ,  0.04 ,  3 
"Kacang kedelai, rebus",  56.8 ,  189 ,  20.2 ,  8.2 ,  12.7 ,  91 ,  270 ,  0.20 ,  0.04 ,  0 
"Kacang merah segar, rebus",  63.1 ,  144 ,  10.0 ,  1.0 ,  24.7 ,  144 ,  150 ,  0.10 ,  0.08 ,0
"Kacang tanah, rebus",  62.1 ,  220 ,  10.6 ,  18.0 ,  8.0 ,  89 ,  273 ,0,0,0
