Nama Pangan,Kelompok,Tipe,air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Kalsium (mg),Fosfor (mg),Besi (mg),Vit A (mcg),Vit B1 (mg),Vit B2 (mg),Vit C (mg)
"Bayam ,rebus",Sayuran,Olahan (Processed), 93.5 ,  23 ,  1.2 ,  0.6 ,  3.7 ,150.0,35.0,0.5,0.0,0.02,0.1,19.0
"Buncis, rebus",Sayuran,Olahan (Processed),  90.6 ,  30 ,  2.2 ,  0.2 ,  6.4 ,107.0,47.0,0.5,59.191489361702125,0.01,0.29,8.0
"Daun kacang panjang, kukus",Sayuran,Olahan (Processed),  87.2 ,  40 ,  3.7 ,  0.3 ,  8.0 ,111.0,66.0,3.7,0.0,0.15,0.2,11.0
"Daun singkong, rebus",Sayuran,Olahan (Processed),  90.5 ,  31 ,  3.7 ,  0.6 ,  4.8 ,160.0,50.0,2.6,59.191489361702125,0.02,0.1,34.0
"Daun talas, rebus",Sayuran,Olahan (Processed),  91.6 ,  27 ,  1.3 ,  0.2 ,  5.9 ,119.0,41.0,1.4,0.0,0.0,0.6,7.0
"Kangkung, rebus",Sayuran,Olahan (Processed),  93.0 ,  22 ,  2.5 ,  0.6 ,  3.1 ,50.0,51.0,3.5,0.0,0.01,0.22,13.0
"Selada, rebus",Sayuran,Olahan (Processed),  93.5 ,  19 ,  2.7 ,  0.2 ,  2.9 ,83.0,74.0,1.4,59.191489361702125,0.08,0.2,27.0
"Taoge, goreng",Sayuran,Olahan (Processed),  79.2 ,  88 ,  3.2 ,  2.1 ,  14.0 ,168.0,50.0,5.7,2.0,0.05,0.1,0.0
"Wortel, rebus",Sayuran,Olahan (Processed),  92.1 ,  28 ,  0.7 ,  0.5 ,  6.3 ,46.0,28.0,0.6,0.0,0.01,0.03,12.0
Gado-gado,Sayuran,Olahan (Processed),  68.5 ,  137 ,  6.1 ,  3.2 ,  21.0 ,301.0,135.0,7.5,3.0,0.1,0.1,1.0
Sayur asem,Sayuran,Olahan (Processed),  93.2 ,  29 ,  0.7 ,  0.6 ,  5.0 ,40.0,61.0,3.1,14.0,0.1,0.1,0.0
Sayur bunga pepaya,Sayuran,Olahan (Processed),  83.4 ,  49 ,  1.7 ,  0.3 ,  9.8 ,220.0,220.0,1.3,59.191489361702125,0.1142499999999999,0.1,0.0
Sayur sop,Sayuran,Olahan (Processed),  92.7 ,  27 ,  1.3 ,  2.0 ,  1.0 ,168.0,57.0,1.8,20.0,0.1,0.1,0.0
Waluh balamak,Sayuran,Olahan (Processed),  89.4 ,  45 ,  0.8 ,  0.9 ,  8.1 ,25.0,25.0,0.5,59.191489361702125,0.2,0.0,2.0
"kacang hijau, rebus",Kacang-Kacangan,Olahan (Processed),  71.3 ,  109 ,  8.7 ,  0.5 ,  18.3 ,95.0,149.0,1.5,59.191489361702125,0.12,0.04,3.0
"Kacang kedelai, rebus",Kacang-Kacangan,Olahan (Processed),  56.8 ,  189 ,  20.2 ,  8.2 ,  12.7 ,91.0,270.0,3.9,59.191489361702125,0.2,0.04,0.0
"Kacang merah segar, rebus",Kacang-Kacangan,Olahan (Processed),  63.1 ,  144 ,  10.0 ,  1.0 ,  24.7 ,144.0,150.0,2.8,59.191489361702125,0.1,0.08,14.723684210526317
"Kacang tanah, rebus",Kacang-Kacangan,Olahan (Processed),  62.1 ,  220 ,  10.6 ,  18.0 ,  8.0 ,89.0,273.0,1.9,59.191489361702125,0.1142499999999999,0.1,14.723684210526317
Susu kedelai,Kacang-Kacangan,Olahan (Processed),  87.0 ,  41 ,  3.5 ,  2.5 ,  5.0 ,50.0,45.0,0.7,59.191489361702125,0.1142499999999999,0.1,14.723684210526317
Tahu goreng,Kacang-Kacangan,Olahan (Processed),  77.3 ,  115 ,  9.7 ,  8.5 ,  2.5 ,229.0,200.0,4.1,59.191489361702125,0.01,0.24,0.0
Tempe kedelai + jagung,Kacang-Kacangan,Olahan (Processed),  70.6 ,  143 ,  12.0 ,  5.5 ,  11.4 ,155.0,156.0,6.8,59.191489361702125,0.1142499999999999,0.1,14.723684210526317
"Susu kambing, segar",Susu,Mentah (Raw),  85.9 ,  64 ,  4.3 ,  2.3 ,  6.6 ,98.0,78.0,2.7,38.0,0.06,0.45,1.0
"Susu sapi, segar",Susu,Mentah (Raw),  88.3 ,  61 ,  3.2 ,  3.5 ,  4.3 ,143.0,60.0,1.7,39.0,0.03,0.18,1.0
